PinOut_1,PinOut_2,Voltage_1,Voltage_2,P_x,P_y,S1,dS1_dV,dPx_dV,dPy_dV,Mode_Locked,S1_MLd
221,38,4.3333333,0.745098,67,43,0.2182,-0.0451,-6,0,0,#N/A
221,39,4.3333333,0.7647059,65,35,0.3,-0.0818,2,8,0,#N/A
221,40,4.3333333,0.7843137,64,44,0.1852,0.1148,1,-9,0,#N/A
221,41,4.3333333,0.8039216,68,37,0.2952,-0.11,-4,7,0,#N/A
221,42,4.3333333,0.8235294,68,38,0.283,0.0122,0,-1,0,#N/A
221,43,4.3333333,0.8431373,80,40,0.3333,-0.0503,-12,-2,0,#N/A
221,44,4.3333333,0.8627451,68,36,0.3077,0.0256,12,4,0,#N/A
221,45,4.3333333,0.8823529,75,41,0.2931,0.0146,-7,-5,0,#N/A
221,46,4.3333333,0.9019608,66,40,0.2453,0.0478,9,1,0,#N/A
221,47,4.3333333,0.9215686,73,34,0.3645,-0.1192,-7,6,0,#N/A
221,48,4.3333333,0.9411765,65,37,0.2745,0.09,8,-3,0,#N/A
221,49,4.3333333,0.9607843,72,42,0.2632,0.0113,-7,-5,0,#N/A
221,50,4.3333333,0.9803922,62,49,0.1171,0.1461,10,-7,0,#N/A
221,51,4.3333333,1,61,46,0.1402,-0.0231,1,3,0,#N/A
221,52,4.3333333,1.0196078,54,49,0.0485,0.0917,7,-3,0,#N/A
221,53,4.3333333,1.0392157,55,46,0.0891,-0.0406,-1,3,0,#N/A
221,54,4.3333333,1.0588235,53,51,0.0192,0.0699,2,-5,0,#N/A
221,55,4.3333333,1.0784314,41,51,-0.1087,0.1279,12,0,0,#N/A
221,56,4.3333333,1.0980392,46,62,-0.1481,0.0394,-5,-11,0,#N/A
221,57,4.3333333,1.1176471,38,57,-0.2,0.0519,8,5,0,#N/A
221,58,4.3333333,1.1372549,37,69,-0.3019,0.1019,1,-12,0,#N/A
221,59,4.3333333,1.1568627,33,75,-0.3889,0.087,4,-6,0,#N/A
221,60,4.3333333,1.1764706,31,67,-0.3673,-0.0216,2,8,0,#N/A
221,61,4.3333333,1.1960784,22,75,-0.5464,0.1791,9,-8,0,#N/A
221,62,4.3333333,1.2156863,22,85,-0.5888,0.0424,0,-10,0,#N/A
221,63,4.3333333,1.2352941,15,79,-0.6809,0.0921,7,6,0,#N/A
221,64,4.3333333,1.254902,16,79,-0.6632,-0.0177,-1,0,0,#N/A
